High To Open,Low To Open,Close To Open,High To Low,Volume
0.0022409929,-0.0012641499,0.0006608056,0.0035095794,45.14894
0.0005743825,-0.0070074670,-0.0043078690,0.0076353540,203.14503
0.0000000000,-0.0044418806,-0.0031727718,0.0044616989,25.65141
0.0021413896,-0.0003472524,0.0018520126,0.0024895064,52.74601
0.0005778176,-0.0020223615,-0.0014156531,0.0026054483,43.06767
0.0000578336,-0.0042796831,-0.0021687583,0.0043561596,136.27445
0.0002899139,-0.0076537268,-0.0074797785,0.0080049081,112.35578
0.0056959252,-0.0000876296,0.0035928144,0.0057840617,73.49522
0.0000291028,-0.0041034894,-0.0016879602,0.0041496201,85.81298
0.0028863815,-0.0022449634,-0.0016618560,0.0051428905,70.07122
0.0034743511,-0.0013722227,0.0025984643,0.0048532335,57.60871
0.0024161621,-0.0017466232,-0.0009897531,0.0041700688,52.63499
0.0022441783,-0.0023607589,0.0016612748,0.0046158341,35.01343
0.0012804470,-0.0015423566,-0.0002328085,0.0028271641,54.8707
0.0014542070,-0.0010470291,0.0010470291,0.0025038577,36.55121
0.0003776984,-0.0037188762,-0.0000290537,0.0041118661,29.5622
0.0005522453,-0.0019473914,-0.0019473914,0.0025045139,23.73137
0.0032911982,-0.0006698899,0.0025921827,0.0039637434,15.1013
0.0000581260,-0.0031388049,-0.0031388049,0.0032069971,12.68167
0.0023611030,0.0000000000,0.0004955401,0.0023611030,33.26686
0.0024186263,0.0000000000,0.0024186263,0.0024186263,29.96492
0.0000872169,-0.0016280490,-0.0016280490,0.0017180630,56.10103
0.0013395457,-0.0011065812,-0.0008736168,0.0024488368,20.87222
0.0019529542,-0.0003789314,0.0017197656,0.0023327696,16.27524
0.0020084997,-0.0002910869,0.0002037608,0.0023002562,119.72999
0.0031131801,0.0000000000,0.0014256619,0.0031131801,51.45924
0.0007257105,-0.0007837673,0.0002612558,0.0015106618,11.21178
0.0004643738,-0.0012480046,-0.0010738645,0.0017145182,14.37144
0.0023819206,0.0000000000,0.0023819206,0.0023819206,13.93072
0.0008984466,-0.0018838396,-0.0006665894,0.0027875374,127.09625
0.0000000000,-0.0020597024,-0.0018566331,0.0020639535,32.34317
0.0035160109,0.0000000000,0.0033707212,0.0035160109,49.59454
0.0008687846,-0.0007819061,0.0008687846,0.0016519824,40.05206
0.0000000000,-0.0028647491,-0.0026043174,0.0028729795,35.13761
0.0000000000,-0.0090832584,-0.0075161786,0.0091665202,47.1846
0.0022514620,-0.0048245614,-0.0023099415,0.0071103276,170.19349
0.0031358987,-0.0000293075,0.0017291404,0.0031652989,25.85675
0.0032732268,-0.0000292252,0.0026302715,0.0033025485,29.58157
0.0007575537,-0.0019521576,-0.0007284170,0.0027150114,14.52157
0.0013411079,-0.0009620991,0.0008454810,0.0023054250,29.3142
0.0017473862,-0.0014561552,0.0007280776,0.0032082130,39.18517
0.0018342213,-0.0028241186,-0.0028241186,0.0046715328,96.78809
0.0015457303,-0.0036455903,0.0012249183,0.0052103153,30.55133
0.0021555491,0.0000000000,0.0020681620,0.0021555491,26.4224
0.0003779509,-0.0008721944,0.0003779509,0.0012512367,43.42694
0.0000000000,-0.0027619491,-0.0001744389,0.0027695986,19.76226
0.0005521811,-0.0010462379,-0.0002906216,0.0016000931,11.5604
0.0024997820,-0.0000872017,0.0018312356,0.0025872093,34.30623
0.0002030516,-0.0019434936,-0.0006091547,0.0021507251,7.20238
0.0004063507,-0.0015383276,-0.0013061272,0.0019476744,43.86363
0.0015115840,0.0000000000,0.0005523095,0.0015115840,17.44718
0.0015982797,-0.0003487156,0.0015982797,0.0019476744,12.95666
0.0000000000,-0.0017405430,-0.0010733349,0.0017435778,18.83549
0.0005515079,-0.0013642565,-0.0007256683,0.0019183816,7.23455
0.0018588980,-0.0050829243,-0.0037177960,0.0069772873,97.41069
0.0007576861,-0.0008451115,-0.0006994026,0.0016041533,9.28381
0.0033835025,0.0000000000,0.0019542644,0.0033835025,9.33732
0.0006113537,-0.0006113537,0.0006113537,0.0012234554,9.65966
0.0000291036,-0.0005238650,0.0000000000,0.0005532584,4.10971
0.0031432812,0.0000000000,0.0030268634,0.0031432812,31.72829
0.0030172039,-0.0002320926,0.0026690650,0.0032500508,44.6156
0.0009262207,-0.0024892182,0.0001736664,0.0034239619,10.58569
0.0003473931,-0.0014474713,-0.0014474713,0.0017974662,30.36835
0.0000000000,-0.0023777765,-0.0023777765,0.0023834438,30.98386
0.0004356160,-0.0027879422,-0.0018586281,0.0032325703,38.72864
0.0012224939,-0.0024158808,0.0000873210,0.0036471858,25.96149
0.0006117455,-0.0009030529,0.0006117455,0.0015161676,9.94057
0.0000000000,-0.0019769741,-0.0003779509,0.0019808902,7.73003
0.0000000000,-0.0026463489,-0.0026463489,0.0026533707,25.33044
0.0019530681,-0.0009328086,0.0012826119,0.0028885712,20.685
0.0015139164,-0.0010480960,-0.0002911378,0.0025647004,9.27539
0.0002910954,-0.0008732862,-0.0001164382,0.0011653993,13.69243
0.0000873413,-0.0003784791,-0.0003784791,0.0004659968,4.09342
0.0002917068,-0.0033254573,-0.0029754091,0.0036292329,19.82639
0.0011410849,-0.0013458950,-0.0000877758,0.0024903317,66.15866
0.0005851204,-0.0010824727,-0.0007314005,0.0016694002,10.64054
0.0025756600,-0.0001756132,0.0025756600,0.0027517564,9.6488
